Infinitive,ско́рчить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ско́рчивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ско́рченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ско́рчив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ско́рчивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ско́рчу
2nd Sing,ско́рчишь
3rd Sing,ско́рчит
1st Pl,ско́рчим
2nd Pl,ско́рчите
3rd Pl,ско́рчат
Past M,ско́рчил
Past F,ско́рчила
Past N,ско́рчило
Past PL,ско́рчили
Imp S,ско́рчи
Imp PL,ско́рчите
