Infinitive,ска́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ска́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ска́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ска́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ска́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ска́тываюсь
2nd Sing,ска́тываешься
3rd Sing,ска́тывается
1st Pl,ска́тываемся
2nd Pl,ска́тываетесь
3rd Pl,ска́тываются
Past M,ска́тывался
Past F,ска́тывалась
Past N,ска́тывалось
Past PL,ска́тывались
Imp S,ска́тывайся
Imp PL,ска́тывайтесь
