Infinitive,скре́щивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скре́щивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скре́щивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скре́щиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скре́щивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,скре́щивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,скре́щивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,скре́щиваю
2nd Sing,скре́щиваешь
3rd Sing,скре́щивает
1st Pl,скре́щиваем
2nd Pl,скре́щиваете
3rd Pl,скре́щивают
Past M,скре́щивал
Past F,скре́щивала
Past N,скре́щивало
Past PL,скре́щивали
Imp S,скре́щивай
Imp PL,скре́щивайте
