Infinitive,скрепля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скрепля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скрепля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скрепля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скрепля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,скрепля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,скрепля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,скрепля́ю
2nd Sing,скрепля́ешь
3rd Sing,скрепля́ет
1st Pl,скрепля́ем
2nd Pl,скрепля́ете
3rd Pl,скрепля́ют
Past M,скрепля́л
Past F,скрепля́ла
Past N,скрепля́ло
Past PL,скрепля́ли
Imp S,скрепля́й
Imp PL,скрепля́йте
