Infinitive,скриви́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скриви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скривлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скриви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скриви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скривлю́
2nd Sing,скриви́шь
3rd Sing,скриви́т
1st Pl,скриви́м
2nd Pl,скриви́те
3rd Pl,скривя́т
Past M,скриви́л
Past F,скриви́ла
Past N,скриви́ло
Past PL,скриви́ли
Imp S,скриви́
Imp PL,скриви́те
