Infinitive,скуча́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,скуча́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скуча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скуча́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скуча́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,скуча́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,скуча́ю
2nd Sing,скуча́ешь
3rd Sing,скуча́ет
1st Pl,скуча́ем
2nd Pl,скуча́ете
3rd Pl,скуча́ют
Past M,скуча́л
Past F,скуча́ла
Past N,скуча́ло
Past PL,скуча́ли
Imp S,скуча́й
Imp PL,скуча́йте
