Infinitive,скрои́ть
Zaliznyak Class,4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скрои́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скрои́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скрои́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скрою́
2nd Sing,скрои́шь
3rd Sing,скрои́т
1st Pl,скрои́м
2nd Pl,скрои́те
3rd Pl,скроя́т
Past M,скрои́л
Past F,скрои́ла
Past N,скрои́ло
Past PL,скрои́ли
Imp S,скрои́
Imp PL,скрои́те
