Infinitive,скрути́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скрути́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скру́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скрути́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скрути́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скручу́
2nd Sing,скру́тишь
3rd Sing,скру́тит
1st Pl,скру́тим
2nd Pl,скру́тите
3rd Pl,скру́тят
Past M,скрути́л
Past F,скрути́ла
Past N,скрути́ло
Past PL,скрути́ли
Imp S,скрути́
Imp PL,скрути́те
