Infinitive,скорота́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скорота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скорота́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,скорота́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,скорота́ю
2nd Sing,скорота́ешь
3rd Sing,скорота́ет
1st Pl,скорота́ем
2nd Pl,скорота́ете
3rd Pl,скорота́ют
Past M,скорота́л
Past F,скорота́ла
Past N,скорота́ло
Past PL,скорота́ли
Imp S,скорота́й
Imp PL,скорота́йте
