Infinitive,сконфу́зиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сконфу́зившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сконфу́зившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сконфу́жусь
2nd Sing,сконфу́зишься
3rd Sing,сконфу́зится
1st Pl,сконфу́зимся
2nd Pl,сконфу́зитесь
3rd Pl,сконфу́зятся
Past M,сконфу́зился
Past F,сконфу́зилась
Past N,сконфу́зилось
Past PL,сконфу́зились
Imp S,сконфу́зься
Imp PL,сконфу́зьтесь
