Infinitive,скова́ть
Zaliznyak Class,2b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ско́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скую́
2nd Sing,скуёшь
3rd Sing,скуёт
1st Pl,скуём
2nd Pl,скуёте
3rd Pl,скую́т
Past M,скова́л
Past F,скова́ла
Past N,скова́ло
Past PL,скова́ли
Imp S,ску́й
Imp PL,ску́йте
