Infinitive,скита́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,скита́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скита́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скита́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скита́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скита́юсь
2nd Sing,скита́ешься
3rd Sing,скита́ется
1st Pl,скита́емся
2nd Pl,скита́етесь
3rd Pl,скита́ются
Past M,скита́лся
Past F,скита́лась
Past N,скита́лось
Past PL,скита́лись
Imp S,скита́йся
Imp PL,скита́йтесь
