Infinitive,ски́снуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ски́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ски́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ски́сну
2nd Sing,ски́снешь
3rd Sing,ски́снет
1st Pl,ски́снем
2nd Pl,ски́снете
3rd Pl,ски́снут
Past M,ски́с
Past F,ски́сла
Past N,ски́сло
Past PL,ски́сли
Imp S,ски́сни
Imp PL,ски́сните
