Infinitive,сконфу́зить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сконфу́зивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сконфу́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сконфу́зив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сконфу́зивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сконфу́жу
2nd Sing,сконфу́зишь
3rd Sing,сконфу́зит
1st Pl,сконфу́зим
2nd Pl,сконфу́зите
3rd Pl,сконфу́зят
Past M,сконфу́зил
Past F,сконфу́зила
Past N,сконфу́зило
Past PL,сконфу́зили
Imp S,сконфу́зь
Imp PL,сконфу́зьте
