Infinitive,скрипе́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,скрипя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скрипе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скрипя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скрипе́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,скрипе́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,скриплю́
2nd Sing,скрипи́шь
3rd Sing,скрипи́т
1st Pl,скрипи́м
2nd Pl,скрипи́те
3rd Pl,скрипя́т
Past M,скрипе́л
Past F,скрипе́ла
Past N,скрипе́ло
Past PL,скрипе́ли
Imp S,скрипи́
Imp PL,скрипи́те
