Infinitive,скрести́сь
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,скребу́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скрёбшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скребя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скрёбшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скребу́сь
2nd Sing,скребёшься
3rd Sing,скребётся
1st Pl,скребёмся
2nd Pl,скребётесь
3rd Pl,скребу́тся
Past M,скрёбся
Past F,скребла́сь
Past N,скребло́сь
Past PL,скребли́сь
Imp S,скреби́сь
Imp PL,скреби́тесь
