Infinitive,ско́мкать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ско́мкавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ско́мканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ско́мкав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ско́мкавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ско́мкаю
2nd Sing,ско́мкаешь
3rd Sing,ско́мкает
1st Pl,ско́мкаем
2nd Pl,ско́мкаете
3rd Pl,ско́мкают
Past M,ско́мкал
Past F,ско́мкала
Past N,ско́мкало
Past PL,ско́мкали
Imp S,ско́мкай
Imp PL,ско́мкайте
