Infinitive,скрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,скрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скрыва́юсь
2nd Sing,скрыва́ешься
3rd Sing,скрыва́ется
1st Pl,скрыва́емся
2nd Pl,скрыва́етесь
3rd Pl,скрыва́ются
Past M,скрыва́лся
Past F,скрыва́лась
Past N,скрыва́лось
Past PL,скрыва́лись
Imp S,скрыва́йся
Imp PL,скрыва́йтесь
