Infinitive,скорбе́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,скорбя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скорбе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скорбя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скорбе́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,скорбе́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,скорблю́
2nd Sing,скорби́шь
3rd Sing,скорби́т
1st Pl,скорби́м
2nd Pl,скорби́те
3rd Pl,скорбя́т
Past M,скорбе́л
Past F,скорбе́ла
Past N,скорбе́ло
Past PL,скорбе́ли
Imp S,скорби́
Imp PL,скорби́те
