Infinitive,скати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,скати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,скачу́сь
2nd Sing,ска́тишься
3rd Sing,ска́тится
1st Pl,ска́тимся
2nd Pl,ска́титесь
3rd Pl,ска́тятся
Past M,скати́лся
Past F,скати́лась
Past N,скати́лось
Past PL,скати́лись
Imp S,скати́сь
Imp PL,скати́тесь
