Infinitive,ска́литься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ска́лящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ска́лившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ска́лясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ска́лившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ска́люсь
2nd Sing,ска́лишься
3rd Sing,ска́лится
1st Pl,ска́лимся
2nd Pl,ска́литесь
3rd Pl,ска́лятся
Past M,ска́лился
Past F,ска́лилась
Past N,ска́лилось
Past PL,ска́лились
Imp S,ска́лься
Imp PL,ска́льтесь
