Infinitive,склоня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,склоня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,склоня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,склоня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,склоня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,склоня́юсь
2nd Sing,склоня́ешься
3rd Sing,склоня́ется
1st Pl,склоня́емся
2nd Pl,склоня́етесь
3rd Pl,склоня́ются
Past M,склоня́лся
Past F,склоня́лась
Past N,склоня́лось
Past PL,склоня́лись
Imp S,склоня́йся
Imp PL,склоня́йтесь
