Infinitive,скользну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,скользну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скользну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,скользну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,скользну́
2nd Sing,скользнёшь
3rd Sing,скользнёт
1st Pl,скользнём
2nd Pl,скользнёте
3rd Pl,скользну́т
Past M,скользну́л
Past F,скользну́ла
Past N,скользну́ло
Past PL,скользну́ли
Imp S,скользни́
Imp PL,скользни́те
