Infinitive,скле́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скле́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скле́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скле́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скле́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скле́ю
2nd Sing,скле́ишь
3rd Sing,скле́ит
1st Pl,скле́им
2nd Pl,скле́ите
3rd Pl,скле́ят
Past M,скле́ил
Past F,скле́ила
Past N,скле́ило
Past PL,скле́или
Imp S,скле́й
Imp PL,скле́йте
