Infinitive,склони́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,склони́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,склони́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,склоню́сь
2nd Sing,скло́нишься
3rd Sing,скло́нится
1st Pl,скло́нимся
2nd Pl,скло́нитесь
3rd Pl,скло́нятся
Past M,склони́лся
Past F,склони́лась
Past N,склони́лось
Past PL,склони́лись
Imp S,склони́сь
Imp PL,склони́тесь
