Infinitive,ска́пливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ска́пливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ска́пливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ска́пливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ска́пливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ска́пливаюсь
2nd Sing,ска́пливаешься
3rd Sing,ска́пливается
1st Pl,ска́пливаемся
2nd Pl,ска́пливаетесь
3rd Pl,ска́пливаются
Past M,ска́пливался
Past F,ска́пливалась
Past N,ска́пливалось
Past PL,ска́пливались
Imp S,ска́пливайся
Imp PL,ска́пливайтесь
