Infinitive,ску́шать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ску́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ску́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ску́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ску́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ску́шаю
2nd Sing,ску́шаешь
3rd Sing,ску́шает
1st Pl,ску́шаем
2nd Pl,ску́шаете
3rd Pl,ску́шают
Past M,ску́шал
Past F,ску́шала
Past N,ску́шало
Past PL,ску́шали
Imp S,ску́шай
Imp PL,ску́шайте
