Infinitive,скобли́ть
Zaliznyak Class,4b⑧ // 4c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скобля́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скобли́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скобли́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ско́бленный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,скоблённый
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,скобля́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,скобли́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,скобли́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,скоблю́
2nd Sing,скобли́шь
3rd Sing,скобли́т
1st Pl,скобли́м
2nd Pl,скобли́те
3rd Pl,скобля́т
Past M,скобли́л
Past F,скобли́ла
Past N,скобли́ло
Past PL,скобли́ли
Imp S,скобли́
Imp PL,скобли́те
