Infinitive,скрести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скрести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скрещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скрести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скрести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скрещу́
2nd Sing,скрести́шь
3rd Sing,скрести́т
1st Pl,скрести́м
2nd Pl,скрести́те
3rd Pl,скрестя́т
Past M,скрести́л
Past F,скрести́ла
Past N,скрести́ло
Past PL,скрести́ли
Imp S,скрести́
Imp PL,скрести́те
