Infinitive,скупи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,скупя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,скупи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скупя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,скупи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скуплю́сь
2nd Sing,скупи́шься
3rd Sing,скупи́тся
1st Pl,скупи́мся
2nd Pl,скупи́тесь
3rd Pl,скупя́тся
Past M,скупи́лся
Past F,скупи́лась
Past N,скупи́лось
Past PL,скупи́лись
Imp S,скупи́сь
Imp PL,скупи́тесь
