Infinitive,ско́вывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ско́вывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ско́вывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ско́вываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ско́вывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ско́вывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,ско́вывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,ско́вываю
2nd Sing,ско́вываешь
3rd Sing,ско́вывает
1st Pl,ско́вываем
2nd Pl,ско́вываете
3rd Pl,ско́вывают
Past M,ско́вывал
Past F,ско́вывала
Past N,ско́вывало
Past PL,ско́вывали
Imp S,ско́вывай
Imp PL,ско́вывайте
