Infinitive,ска́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ска́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ска́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ска́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ска́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ска́зываюсь
2nd Sing,ска́зываешься
3rd Sing,ска́зывается
1st Pl,ска́зываемся
2nd Pl,ска́зываетесь
3rd Pl,ска́зываются
Past M,ска́зывался
Past F,ска́зывалась
Past N,ска́зывалось
Past PL,ска́зывались
Imp S,ска́зывайся
Imp PL,ска́зывайтесь
