Infinitive,сказа́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сказа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сказа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,скажу́сь
2nd Sing,ска́жешься
3rd Sing,ска́жется
1st Pl,ска́жемся
2nd Pl,ска́жетесь
3rd Pl,ска́жутся
Past M,сказа́лся
Past F,сказа́лась
Past N,сказа́лось
Past PL,сказа́лись
Imp S,скажи́сь
Imp PL,скажи́тесь
