Infinitive,скорректи́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скорректи́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скорректи́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скорректи́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скорректи́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скорректи́рую
2nd Sing,скорректи́руешь
3rd Sing,скорректи́рует
1st Pl,скорректи́руем
2nd Pl,скорректи́руете
3rd Pl,скорректи́руют
Past M,скорректи́ровал
Past F,скорректи́ровала
Past N,скорректи́ровало
Past PL,скорректи́ровали
Imp S,скорректи́руй
Imp PL,скорректи́руйте
