Infinitive,скры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скро́ю
2nd Sing,скро́ешь
3rd Sing,скро́ет
1st Pl,скро́ем
2nd Pl,скро́ете
3rd Pl,скро́ют
Past M,скры́л
Past F,скры́ла
Past N,скры́ло
Past PL,скры́ли
Imp S,скро́й
Imp PL,скро́йте
