Infinitive,ската́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ската́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ска́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ската́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ската́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ската́ю
2nd Sing,ската́ешь
3rd Sing,ската́ет
1st Pl,ската́ем
2nd Pl,ската́ете
3rd Pl,ската́ют
Past M,ската́л
Past F,ската́ла
Past N,ската́ло
Past PL,ската́ли
Imp S,ската́й
Imp PL,ската́йте
