Infinitive,скопи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,скопи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скопи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,скоплю́сь
2nd Sing,ско́пишься
3rd Sing,ско́пится
1st Pl,ско́пимся
2nd Pl,ско́питесь
3rd Pl,ско́пятся
Past M,скопи́лся
Past F,скопи́лась
Past N,скопи́лось
Past PL,скопи́лись
Imp S,скопи́сь
Imp PL,скопи́тесь
