Infinitive,скрю́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,скрю́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,скрю́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,скрю́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,скрю́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,скрю́чу
2nd Sing,скрю́чишь
3rd Sing,скрю́чит
1st Pl,скрю́чим
2nd Pl,скрю́чите
3rd Pl,скрю́чат
Past M,скрю́чил
Past F,скрю́чила
Past N,скрю́чило
Past PL,скрю́чили
Imp S,скрю́чь
Imp PL,скрю́чьте
