Infinitive,смеша́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смеша́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сме́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смеша́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смеша́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смеша́ю
2nd Sing,смеша́ешь
3rd Sing,смеша́ет
1st Pl,смеша́ем
2nd Pl,смеша́ете
3rd Pl,смеша́ют
Past M,смеша́л
Past F,смеша́ла
Past N,смеша́ло
Past PL,смеша́ли
Imp S,смеша́й
Imp PL,смеша́йте
