Infinitive,смо́рщить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смо́рщивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смо́рщенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смо́рщив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смо́рщивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смо́рщу
2nd Sing,смо́рщишь
3rd Sing,смо́рщит
1st Pl,смо́рщим
2nd Pl,смо́рщите
3rd Pl,смо́рщат
Past M,смо́рщил
Past F,смо́рщила
Past N,смо́рщило
Past PL,смо́рщили
Imp S,смо́рщи
Imp PL,смо́рщьте
