Infinitive,смолка́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,смолка́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,смолка́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смолка́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,смолка́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,смолка́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,смолка́ю
2nd Sing,смолка́ешь
3rd Sing,смолка́ет
1st Pl,смолка́ем
2nd Pl,смолка́ете
3rd Pl,смолка́ют
Past M,смолка́л
Past F,смолка́ла
Past N,смолка́ло
Past PL,смолка́ли
Imp S,смолка́й
Imp PL,смолка́йте
