Infinitive,сморо́зить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сморо́зивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сморо́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сморо́зив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сморо́зивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сморо́жу
2nd Sing,сморо́зишь
3rd Sing,сморо́зит
1st Pl,сморо́зим
2nd Pl,сморо́зите
3rd Pl,сморо́зят
Past M,сморо́зил
Past F,сморо́зила
Past N,сморо́зило
Past PL,сморо́зили
Imp S,сморо́зь
Imp PL,сморо́зьте
