Infinitive,смахну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смахну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сма́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смахну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смахну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смахну́
2nd Sing,смахнёшь
3rd Sing,смахнёт
1st Pl,смахнём
2nd Pl,смахнёте
3rd Pl,смахну́т
Past M,смахну́л
Past F,смахну́ла
Past N,смахну́ло
Past PL,смахну́ли
Imp S,смахни́
Imp PL,смахни́те
