Infinitive,смонти́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смонти́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смонти́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смонти́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смонти́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смонти́рую
2nd Sing,смонти́руешь
3rd Sing,смонти́рует
1st Pl,смонти́руем
2nd Pl,смонти́руете
3rd Pl,смонти́руют
Past M,смонти́ровал
Past F,смонти́ровала
Past N,смонти́ровало
Past PL,смонти́ровали
Imp S,смонти́руй
Imp PL,смонти́руйте
