Infinitive,сма́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сма́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сма́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сма́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сма́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сма́жу
2nd Sing,сма́жешь
3rd Sing,сма́жет
1st Pl,сма́жем
2nd Pl,сма́жете
3rd Pl,сма́жут
Past M,сма́зал
Past F,сма́зала
Past N,сма́зало
Past PL,сма́зали
Imp S,сма́жь
Imp PL,сма́жьте
