Infinitive,смуща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смуща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,смуща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смуща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,смуща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смуща́юсь
2nd Sing,смуща́ешься
3rd Sing,смуща́ется
1st Pl,смуща́емся
2nd Pl,смуща́етесь
3rd Pl,смуща́ются
Past M,смуща́лся
Past F,смуща́лась
Past N,смуща́лось
Past PL,смуща́лись
Imp S,смуща́йся
Imp PL,смуща́йтесь
