Infinitive,смота́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смота́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смота́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смота́ю
2nd Sing,смота́ешь
3rd Sing,смота́ет
1st Pl,смота́ем
2nd Pl,смота́ете
3rd Pl,смота́ют
Past M,смота́л
Past F,смота́ла
Past N,смота́ло
Past PL,смота́ли
Imp S,смота́й
Imp PL,смота́йте
