Infinitive,смути́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смути́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смути́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,смутя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,смущу́сь
2nd Sing,смути́шься
3rd Sing,смути́тся
1st Pl,смути́мся
2nd Pl,смути́тесь
3rd Pl,смутя́тся
Past M,смути́лся
Past F,смути́лась
Past N,смути́лось
Past PL,смути́лись
Imp S,смути́сь
Imp PL,смути́тесь
