Infinitive,смы́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смы́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смы́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,смо́юсь
2nd Sing,смо́ешься
3rd Sing,смо́ется
1st Pl,смо́емся
2nd Pl,смо́етесь
3rd Pl,смо́ются
Past M,смы́лся
Past F,смы́лась
Past N,смы́лось
Past PL,смы́лись
Imp S,смо́йся
Imp PL,смо́йтесь
