Infinitive,смолча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,смолча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смолча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,смолча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,смолчу́
2nd Sing,смолчи́шь
3rd Sing,смолчи́т
1st Pl,смолчи́м
2nd Pl,смолчи́те
3rd Pl,смолча́т
Past M,смолча́л
Past F,смолча́ла
Past N,смолча́ло
Past PL,смолча́ли
Imp S,смолчи́
Imp PL,смолчи́те
