Infinitive,смы́слить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,смы́слящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,смы́сливший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смы́сля
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,смы́слив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,смы́сливши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,смы́слю
2nd Sing,смы́слишь
3rd Sing,смы́слит
1st Pl,смы́слим
2nd Pl,смы́слите
3rd Pl,смы́слят
Past M,смы́слил
Past F,смы́слила
Past N,смы́слило
Past PL,смы́слили
Imp S,смы́сли
Imp PL,смы́слите
