Infinitive,смягчи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смягчи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смягчённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смягчи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смягчи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смягчу́
2nd Sing,смягчи́шь
3rd Sing,смягчи́т
1st Pl,смягчи́м
2nd Pl,смягчи́те
3rd Pl,смягча́т
Past M,смягчи́л
Past F,смягчи́ла
Past N,смягчи́ло
Past PL,смягчи́ли
Imp S,смягчи́
Imp PL,смягчи́те
