Infinitive,смести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смётший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сметённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сметя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смётши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смету́
2nd Sing,сметёшь
3rd Sing,сметёт
1st Pl,сметём
2nd Pl,сметёте
3rd Pl,смету́т
Past M,смёл
Past F,смела́
Past N,смело́
Past PL,смели́
Imp S,смети́
Imp PL,смети́те
