Infinitive,смодели́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смодели́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смодели́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смодели́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смодели́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смодели́рую
2nd Sing,смодели́руешь
3rd Sing,смодели́рует
1st Pl,смодели́руем
2nd Pl,смодели́руете
3rd Pl,смодели́руют
Past M,смодели́ровал
Past F,смодели́ровала
Past N,смодели́ровало
Past PL,смодели́ровали
Imp S,смодели́руй
Imp PL,смодели́руйте
