Infinitive,смотре́ться
Zaliznyak Class,5c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смотря́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,смотре́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смотря́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,смотре́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смотрю́сь
2nd Sing,смо́тришься
3rd Sing,смо́трится
1st Pl,смо́тримся
2nd Pl,смо́тритесь
3rd Pl,смо́трятся
Past M,смотре́лся
Past F,смотре́лась
Past N,смотре́лось
Past PL,смотре́лись
Imp S,смотри́сь
Imp PL,смотри́тесь
