Infinitive,сменя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сменя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сменя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сменя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сменя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сменя́юсь
2nd Sing,сменя́ешься
3rd Sing,сменя́ется
1st Pl,сменя́емся
2nd Pl,сменя́етесь
3rd Pl,сменя́ются
Past M,сменя́лся
Past F,сменя́лась
Past N,сменя́лось
Past PL,сменя́лись
Imp S,сменя́йся
Imp PL,сменя́йтесь
