Infinitive,смиря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смиря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,смиря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смиря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,смиря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смиря́юсь
2nd Sing,смиря́ешься
3rd Sing,смиря́ется
1st Pl,смиря́емся
2nd Pl,смиря́етесь
3rd Pl,смиря́ются
Past M,смиря́лся
Past F,смиря́лась
Past N,смиря́лось
Past PL,смиря́лись
Imp S,смиря́йся
Imp PL,смиря́йтесь
