Infinitive,смыка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смыка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,смыка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смыка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,смыка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смыка́юсь
2nd Sing,смыка́ешься
3rd Sing,смыка́ется
1st Pl,смыка́емся
2nd Pl,смыка́етесь
3rd Pl,смыка́ются
Past M,смыка́лся
Past F,смыка́лась
Past N,смыка́лось
Past PL,смыка́лись
Imp S,смыка́йся
Imp PL,смыка́йтесь
