Infinitive,смести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смещу́
2nd Sing,смести́шь
3rd Sing,смести́т
1st Pl,смести́м
2nd Pl,смести́те
3rd Pl,сместя́т
Past M,смести́л
Past F,смести́ла
Past N,смести́ло
Past PL,смести́ли
Imp S,смести́
Imp PL,смести́те
