Infinitive,смочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смочи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смочи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смочу́
2nd Sing,смо́чишь
3rd Sing,смо́чит
1st Pl,смо́чим
2nd Pl,смо́чите
3rd Pl,смо́чат
Past M,смочи́л
Past F,смочи́ла
Past N,смочи́ло
Past PL,смочи́ли
Imp S,смочи́
Imp PL,смочи́те
