Infinitive,смота́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смота́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смота́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,смота́юсь
2nd Sing,смота́ешься
3rd Sing,смота́ется
1st Pl,смота́емся
2nd Pl,смота́етесь
3rd Pl,смота́ются
Past M,смота́лся
Past F,смота́лась
Past N,смота́лось
Past PL,смота́лись
Imp S,смота́йся
Imp PL,смота́йтесь
