Infinitive,смягчи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смягчи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смягчи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,смягчу́сь
2nd Sing,смягчи́шься
3rd Sing,смягчи́тся
1st Pl,смягчи́мся
2nd Pl,смягчи́тесь
3rd Pl,смягча́тся
Past M,смягчи́лся
Past F,смягчи́лась
Past N,смягчи́лось
Past PL,смягчи́лись
Imp S,смягчи́сь
Imp PL,смягчи́тесь
