Infinitive,смени́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смени́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смени́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сменю́сь
2nd Sing,сме́нишься
3rd Sing,сме́нится
1st Pl,сме́нимся
2nd Pl,сме́нитесь
3rd Pl,сме́нятся
Past M,смени́лся
Past F,смени́лась
Past N,смени́лось
Past PL,смени́лись
Imp S,смени́сь
Imp PL,смени́тесь
