Infinitive,смерде́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,смердя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,смерде́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смердя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,смерде́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,смерде́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,смержу́
2nd Sing,смерди́шь
3rd Sing,смерди́т
1st Pl,смерди́м
2nd Pl,смерди́те
3rd Pl,смердя́т
Past M,смерде́л
Past F,смерде́ла
Past N,смерде́ло
Past PL,смерде́ли
Imp S,смерди́
Imp PL,смерди́те
